Status|AssignedSize|Type|IssueNumber|Title|Repository|Comments|LabelString|closingIssuesReferences|OG Queue|Closed|ClosedAt|RUNLABEL|LabelsCount|Size: 3|Feature: API|User Role: API User|NIH OTA: 1.7.1 (reArchitecture)|Size: 33|NIH OTA: 1.2.1|Size: 80|D: 5 Core PIDs|QDR|Feature: Metadata|Type: Bug|Feature: Style Guide|User Role: Superuser|Feature: Controlled Vocabulary|Hackathon: JSF|Size: SprintTail|Feature: External Tool|Feature: User Guide|JHU|Size: 10|DANS|NIH OTA: 1.4.1|User Role: Sysadmin|Feature: File Upload & Handling|Feature: Code Infrastructure|Feature: Installation Guide|Containers & Cloud|Tech Debt|D: SonarQubeCleanup|Type: Feature|Sprint Retrospective|DataverseNO|Feature: Account & User Info|NIH: NetCDF|Working Group: SWC|HERMES|NIH OTA: 1.3.1|Feature: Developer Guide|Feature: Indexing|Feature: Harvesting|Testing: API|D: FixRateLimitingBehaviors|pm.Sonia|UI/UX: Design|D: Payara 6 Upgrade|Dataset: large number of files|ASU|NIH OTA DC|pm.epic.nih_harvesting|Feature: Search/Browse|Type: Suggestion|User Role: Hackathon Participant|NIH OTA: 1.5.1|Feature: Request Access Workflow|Feature: API Guide|Size: NoSprintCost|ops: User Accounts|Support|Support: prod. data corruption|postmortem|bklog: Deliverable|Feature: Installer|Size: Queued|NIH OTA: 1.1.1|Feature: Admin Guide|Feature: Geospatial|bug|enhancement|Status: UX & UI|Feature: Publishing & Versions|Feature: DOI & Handle|hdc|3a|Feature: Terms & Licensing|Feature: Accessibility|bklog: NeedsDiscussion|Feature: Internationalization|pm.epic.nih_harvesting_framework|Feature: Permissions|Feature: Metrics + Reports|Hackathon: More APIs|User Role: Curator|User Role: Depositor|Feature: Performance & Stability|MVP Milestone 1|D: Infra & Deployment Setup|MVP Milestone 2|D: Design System|dependencies|DevOps: Problem|D: NIH: OTA|D: GDC: Interop With DV|D: Dev|NIH OTA: 1.3.2|D: DataverseInDocker|spike|
'Clear of the Backlog'|3|'ISSUE'|9282|'In TabularSubsetGenerator.java use try-with-resources for BufferedWriter'|'dataverse'||'Size: 3','Tech Debt','D: SonarQubeCleanup'||'Clear of the Backlog'|True|'2023-01-26T18:18:23Z'|20230314-084042|3|1|||||||||||||||||||||||||||1|1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|3|'ISSUE'|9280|'In Files.java usr try-with-resources to for JsonReader'|'dataverse'||'Size: 3','Tech Debt'||'Clear of the Backlog'|True|'2023-01-26T18:18:22Z'|20230314-084042|2|1|||||||||||||||||||||||||||1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|3|'PULL_REQUEST'|8830|'7000 mpconfig rserve'|'dataverse'||'Type: Feature','Feature: Code Infrastructure','Feature: Installation Guide','User Role: Sysadmin','Containers & Cloud','Size: 3'||'Clear of the Backlog'|True|'2022-12-21T15:23:24Z'|20230314-084042|6|1||||||||||||||||||||||1||1|1|1|||1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'||'ISSUE'|9201|'Retrospective: Continue the daily standups.'|'dataverse'||'Sprint Retrospective'||'Clear of the Backlog'|True|'2022-12-01T17:28:36Z'|20230314-084042|1|||||||||||||||||||||||||||||||1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|10|'PULL_REQUEST'|9096|'IQSS/9095-dvwebloader integration'|'dataverse'||'DataverseNO','Size: 10'|'9095'|'Clear of the Backlog'|True|'2023-01-03T22:13:20Z'|20230314-084042|2||||||||||||||||||||1||||||||||||1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|3|'PULL_REQUEST'|9234|'9228 - add OIDC development setup for OIDC login feature testing'|'dataverse'||'Feature: Account & User Info','NIH OTA: 1.7.1 (reArchitecture)','Size: 3'|'9228'|'Clear of the Backlog'|True|'2023-01-09T16:10:49Z'|20230314-084042|3|1|||1|||||||||||||||||||||||||||||1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|10|'PULL_REQUEST'|9227|'8843 more harvest tests'|'dataverse'||'Size: 10'|'8843'|'Clear of the Backlog'|True|'2022-12-15T18:45:07Z'|20230314-084042|1||||||||||||||||||||1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|3|'PULL_REQUEST'|9173|'QDR/9172-fix messages'|'dataverse'||'Size: 3'|'9172'|'Clear of the Backlog'|True|'2022-12-15T20:23:09Z'|20230314-084042|1|1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|3|'PULL_REQUEST'|9226|'import function DatasetUtil'|'dataverse'||'Size: 3'||'Clear of the Backlog'|True|'2022-12-16T14:18:18Z'|20230314-084042|1|1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|80|'ISSUE'|9153|'Extract metadata from NetCDF and HDF5 files as XML in NcML format'|'dataverse'||'NIH: NetCDF','Size: 80'||'Clear of the Backlog'|True|'2023-01-20T16:03:42Z'|20230314-084042|2|||||||1|||||||||||||||||||||||||||1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|33|'ISSUE'|8339|'Provide an API for retrieving information about an individual datafile'|'dataverse'||'Size: 33'||'Clear of the Backlog'|True|'2023-01-25T20:57:04Z'|20230314-084042|1|||||1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|10|'PULL_REQUEST'|7877|'7844 codemeta schema'|'dataverse'||'Feature: Metadata','Working Group: SWC','HERMES','NIH OTA: 1.3.1','Size: 10'|'7844'|'Clear of the Backlog'|True|'2022-12-21T17:22:13Z'|20230314-084042|5||||||||||1||||||||||1|||||||||||||||1|1|1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|3|'PULL_REQUEST'|8972|'Trigger auto-analyze more frequently for guestbook estimates'|'dataverse'||'Size: 3'|'8840'|'Clear of the Backlog'|True|'2022-12-21T17:41:20Z'|20230314-084042|1|1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|33|'PULL_REQUEST'|9018|'GDCC/9005 replace files api call'|'dataverse'||'DANS','Size: 33'|'5924','9005'|'Clear of the Backlog'|True|'2023-01-10T23:44:57Z'|20230314-084042|2|||||1||||||||||||||||1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|3|'PULL_REQUEST'|8962|'IQSS/8730 - fix direct upload progress'|'dataverse'||'DataverseNO','Size: 3'|'8730'|'Clear of the Backlog'|True|'2022-12-16T16:19:57Z'|20230314-084042|2|1|||||||||||||||||||||||||||||||1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|3|'PULL_REQUEST'|8933|'8932 container base image'|'dataverse'||'Containers & Cloud','Working Group: SWC','Size: 3'|'8932'|'Clear of the Backlog'|True|'2022-12-16T19:58:41Z'|20230314-084042|3|1||||||||||||||||||||||||||1||||||||1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|3|'PULL_REQUEST'|9076|'#9074 - Added support for building sphinx docs using python 3.10+'|'dataverse'||'Size: 3'|'9074'|'Clear of the Backlog'|True|'2022-12-16T22:47:09Z'|20230314-084042|1|1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|3|'PULL_REQUEST'|8824|'7000 mpconfig version'|'dataverse'||'Feature: Code Infrastructure','Feature: Developer Guide','Containers & Cloud','Size: 3'||'Clear of the Backlog'|True|'2022-12-16T21:01:50Z'|20230314-084042|4|1||||||||||||||||||||||||1||1|||||||||||1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|3|'PULL_REQUEST'|8826|'7000 mpconfig fqdn & siteUrl'|'dataverse'||'Feature: Code Infrastructure','Feature: Installation Guide','User Role: Sysadmin','Size: 3'||'Clear of the Backlog'|True|'2022-12-20T17:43:32Z'|20230314-084042|4|1||||||||||||||||||||||1||1|1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|3|'PULL_REQUEST'|8825|'7000 mpconfig solr'|'dataverse'||'Feature: Code Infrastructure','Feature: Installation Guide','User Role: Sysadmin','Containers & Cloud','Feature: Indexing','Size: 3'|'3212'|'Clear of the Backlog'|True|'2022-12-21T21:24:28Z'|20230314-084042|6|1||||||||||||||||||||||1||1|1|1||||||||||||1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'||'ISSUE'|9203|'Retrospective: All dev work gets represented on the board.'|'dataverse'||'Sprint Retrospective'||'Clear of the Backlog'|True|'2022-12-08T15:30:53Z'|20230314-084042|1|||||||||||||||||||||||||||||||1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|10|'PULL_REQUEST'|9187|'7940 stop harvest in progress'|'dataverse'||'Size: 10'|'7940'|'Clear of the Backlog'|True|'2022-12-12T18:57:01Z'|20230314-084042|1||||||||||||||||||||1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|80|'ISSUE'|8843|'Expand the suite of automated tests of the Harvesting functionality'|'dataverse'||'Feature: Harvesting','NIH OTA: 1.4.1','Testing: API','Size: 80'||'Clear of the Backlog'|True|'2022-12-15T18:45:07Z'|20230314-084042|4|||||||1|||||||||||||||1||||||||||||||||||1|1||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|10|'ISSUE'|9202|'Retrospective: make the sprint board so that everything moves left to right.'|'dataverse'||'Size: 10','Sprint Retrospective'||'Clear of the Backlog'|True|'2022-12-08T15:15:18Z'|20230314-084042|2||||||||||||||||||||1|||||||||||1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|33|'PULL_REQUEST'|8983|'feat(upload): make upload file storage path configurable #6656'|'dataverse'||'Size: 33'|'6656'|'Clear of the Backlog'|True|'2022-12-05T20:51:48Z'|20230314-084042|1|||||1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'||'PULL_REQUEST'|9091|'Extend 'metadatablocks/{block_id}' endpoint JSON output'|'dataverse'|||'8944'|'Clear of the Backlog'|True|'2022-12-08T11:46:01Z'|20230314-084042|0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|10|'ISSUE'|3621|'invalid schema and metadataNamespace fields in OAI-PMH ListMetadataFormats response'|'dataverse'||'Feature: Harvesting','User Role: Sysadmin','NIH OTA: 1.4.1','Size: 10'||'Clear of the Backlog'|True|'2022-12-07T21:42:11Z'|20230314-084042|4||||||||||||||||||||1||1|1|||||||||||||||||1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|80|'ISSUE'|9361|'Add GENERIC storage quota check to the file upload framework. '|'dataverse'||'Size: 80','D: FixRateLimitingBehaviors'||'Clear of the Backlog'|False|'None'|20230314-084042|2|||||||1|||||||||||||||||||||||||||||||||||1|||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|3|'ISSUE'|212|'shibb group: create a shibb group for Cornell University'|'dataverse.harvard.edu'||'pm.Sonia','Size: 3'||'Clear of the Backlog'|True|'2023-02-13T17:26:58Z'|20230314-084042|2|1||||||||||||||||||||||||||||||||||||||||||1||||||||||||||||||||||||||||||||||||||||||||||||||||||
'SPRINT READY'|33|'PULL_REQUEST'|8940|'8822 incomplete datasets via api'|'dataverse'||'Feature: Metadata','Feature: API','Size: 33','UI/UX: Design'|'8822'|'SPRINT READY'|False|'None'|20230314-084042|4||1|||1|||||1||||||||||||||||||||||||||||||||||1|||||||||||||||||||||||||||||||||||||||||||||||||||||
'SPRINT READY'|3|'ISSUE'|9326|'Payara 6: during password reset, users asked to accept term but there is no checkbox'|'dataverse'||'Type: Bug','Feature: Account & User Info','D: Payara 6 Upgrade','Size: 3'||'SPRINT READY'|False|'None'|20230314-084042|4|1||||||||||1||||||||||||||||||||||1||||||||||||1||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|3|'PULL_REQUEST'|9367|'Text corrections #9365'|'dataverse'||'Feature: Metadata','Size: 3'|'9365'|'Clear of the Backlog'|True|'2023-02-09T19:29:58Z'|20230314-084042|2|1|||||||||1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'SPRINT READY'|3|'PULL_REQUEST'|9206|'IQSS/9205-Add role-based provider'|'dataverse'||'Size: 3'|'9205'|'SPRINT READY'|False|'None'|20230314-084042|1|1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'SPRINT READY'|80|'ISSUE'|9356|'Add execution rate metering to the command engine'|'dataverse'||'Size: 80','D: FixRateLimitingBehaviors'||'SPRINT READY'|False|'None'|20230314-084042|2|||||||1|||||||||||||||||||||||||||||||||||1|||||||||||||||||||||||||||||||||||||||||||||||||||||||
'SPRINT READY'|33|'ISSUE'|8256|'Investigate performance degradation in reindex of datasets with large numbers of files'|'dataverse'||'Size: 33','Dataset: large number of files'||'SPRINT READY'|False|'None'|20230314-084042|2|||||1|||||||||||||||||||||||||||||||||||||||||1|||||||||||||||||||||||||||||||||||||||||||||||||||
'SPRINT READY'|3|'ISSUE'|9312|'In FileUtil.java use try-with-resources for in = new FileInputStream(inputFile).getChannel(); and out = new FileOutputStream(outputFile).getChannel(); in method copyFile(...) and out = new FileOutputStream(outputFile).getChannel(); in method determineFileType(...) and FileReader fileReader = new FileReader(file); in isGraphMLFile(...)'|'dataverse'||'Size: 3','D: SonarQubeCleanup'||'SPRINT READY'|False|'None'|20230314-084042|2|1||||||||||||||||||||||||||||1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'SPRINT READY'|10|'PULL_REQUEST'|9306|'9277 - correcting the sphinx documentation pdf build'|'dataverse'||'Feature: User Guide','Size: 10'||'SPRINT READY'|False|'None'|20230314-084042|2||||||||||||||||||1||1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|3|'PULL_REQUEST'|9366|'Add initial support for .eln file format'|'dataverse'||'Feature: File Upload & Handling','Size: 3'||'Clear of the Backlog'|True|'2023-02-09T22:09:55Z'|20230314-084042|2|1|||||||||||||||||||||||1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'SPRINT READY'|3|'PULL_REQUEST'|9290|'9063 - add session API auth mechanism with feature flag'|'dataverse'||'Feature: API','User Role: API User','NIH OTA: 1.7.1 (reArchitecture)','Size: 3'|'9063'|'SPRINT READY'|False|'None'|20230314-084042|4|1|1|1|1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'SPRINT READY'|10|'ISSUE'|9338|'Inconsistent behavior relating to Roles'|'dataverse'||'Size: 10'||'SPRINT READY'|False|'None'|20230314-084042|1||||||||||||||||||||1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'SPRINT READY'|10|'ISSUE'|9329|'Payara 6: ensure API tests are executing'|'dataverse'||'D: Payara 6 Upgrade','Size: 10'||'SPRINT READY'|False|'None'|20230314-084042|2||||||||||||||||||||1|||||||||||||||||||||||||1||||||||||||||||||||||||||||||||||||||||||||||||||||
'SPRINT READY'|3|'ISSUE'|9323|'Payara 6: Can't publish some datasets'|'dataverse'||'D: Payara 6 Upgrade','Size: 3'||'SPRINT READY'|False|'None'|20230314-084042|2|1||||||||||||||||||||||||||||||||||||||||||||1||||||||||||||||||||||||||||||||||||||||||||||||||||
'SPRINT READY'|3|'PULL_REQUEST'|9299|'9297 feature flags'|'dataverse'||'Feature: Code Infrastructure','Feature: Developer Guide','Feature: Installation Guide','User Role: Sysadmin','Testing: API','Size: 3'|'9297'|'SPRINT READY'|False|'None'|20230314-084042|6|1||||||||||||||||||||||1||1|1||||||||||||1|||1||||||||||||||||||||||||||||||||||||||||||||||||||||||||
